Time Interval,Left Hand X,Left Hand Y,Left Hand Z,Right Hand X,Right Hand Y,Right Hand Z,Left Wrist X,Left Wrist Y,Left Wrist Z,Right Wrist X,Right Wrist Y,Right Wrist Z,Left Elbow X,Left Elbow Y,Left Elbow Z,Right Elbow X,Right Elbow Y,Right Elbow Z,Left Shoulder X,Left Shoulder Y,Left Shoulder Z,Right Shoulder X,Right Shoulder Y,Right Shoulder Z,Center Shoulder X,Center Shoulder Y,Center Shoulder Z,Head X,Head Y,Head Z
332775355,0.31,0.02,1.48,-0.06,0.01,1.44,0.21,-0.02,1.47,0.02,-0.03,1.45,-0.07,-0.13,1.44,0.32,-0.10,1.46,-0.06,0.03,1.63,0.24,0.05,1.64,0.10,0.13,1.76,0.11,0.33,1.77,
332775391,0.31,0.02,1.48,-0.12,-0.04,1.44,0.21,-0.01,1.47,0.00,-0.07,1.45,-0.07,-0.13,1.44,0.31,-0.09,1.47,-0.07,0.03,1.63,0.25,0.06,1.66,0.10,0.13,1.76,0.11,0.33,1.77,
332775423,0.31,0.02,1.49,-0.12,-0.04,1.44,0.22,-0.02,1.47,0.00,-0.07,1.45,-0.07,-0.12,1.44,0.31,-0.09,1.48,-0.07,0.03,1.64,0.25,0.06,1.66,0.10,0.13,1.76,0.11,0.33,1.77,
332775455,0.31,0.01,1.48,-0.11,-0.04,1.44,0.21,-0.03,1.47,0.01,-0.08,1.45,-0.07,-0.15,1.47,0.32,-0.10,1.48,-0.07,0.03,1.64,0.25,0.06,1.66,0.10,0.13,1.75,0.11,0.33,1.77,
332775491,0.30,-0.04,1.47,0.00,-0.07,1.47,0.21,-0.08,1.48,0.06,-0.10,1.48,-0.08,-0.19,1.53,0.32,-0.10,1.48,-0.07,0.02,1.63,0.25,0.05,1.67,0.10,0.13,1.75,0.11,0.32,1.77,
332775523,0.08,-0.02,1.44,0.00,-0.07,1.47,0.04,-0.09,1.47,0.06,-0.10,1.48,-0.08,-0.27,1.56,0.32,-0.11,1.49,-0.06,0.01,1.63,0.25,0.05,1.67,0.10,0.13,1.75,0.11,0.32,1.77,
332775555,-0.10,-0.02,1.48,0.00,-0.07,1.47,-0.03,-0.07,1.46,0.06,-0.10,1.48,-0.08,-0.27,1.56,0.32,-0.12,1.50,-0.06,0.01,1.63,0.25,0.04,1.68,0.10,0.13,1.75,0.11,0.32,1.77,
332775591,-0.08,-0.03,1.48,0.00,-0.07,1.47,-0.02,-0.07,1.46,0.06,-0.10,1.48,-0.08,-0.28,1.56,0.32,-0.13,1.51,-0.06,0.00,1.62,0.25,0.03,1.68,0.10,0.13,1.75,0.11,0.32,1.77,
332775623,-0.06,-0.04,1.49,0.00,-0.07,1.48,0.00,-0.08,1.47,0.06,-0.10,1.48,-0.08,-0.28,1.56,0.33,-0.16,1.49,-0.06,0.00,1.62,0.25,0.00,1.67,0.10,0.13,1.75,0.11,0.32,1.77,
332775655,0.25,-0.07,1.48,0.01,-0.07,1.49,0.17,-0.12,1.49,0.07,-0.10,1.50,-0.08,-0.28,1.56,0.33,-0.16,1.50,-0.06,0.00,1.63,0.25,0.00,1.67,0.10,0.13,1.75,0.11,0.32,1.77,
332775691,0.25,-0.07,1.48,0.00,-0.08,1.49,0.17,-0.13,1.49,0.06,-0.11,1.50,-0.08,-0.29,1.56,0.33,-0.17,1.50,-0.06,-0.01,1.63,0.25,0.00,1.67,0.10,0.13,1.75,0.10,0.32,1.77,
332775723,0.24,-0.07,1.48,0.00,-0.08,1.49,0.16,-0.12,1.50,0.06,-0.11,1.50,-0.08,-0.29,1.57,0.33,-0.17,1.50,-0.06,-0.01,1.63,0.25,-0.01,1.67,0.10,0.13,1.75,0.10,0.32,1.76,
332775755,0.25,-0.07,1.48,0.00,-0.08,1.49,0.16,-0.13,1.50,0.06,-0.11,1.50,-0.08,-0.29,1.57,0.33,-0.17,1.50,-0.06,-0.01,1.63,0.25,-0.01,1.67,0.10,0.13,1.75,0.10,0.32,1.76,
332775791,-0.03,-0.05,1.53,0.00,-0.08,1.49,0.04,-0.10,1.51,0.05,-0.11,1.50,-0.09,-0.30,1.57,0.33,-0.17,1.50,-0.06,-0.01,1.63,0.25,-0.01,1.67,0.10,0.13,1.75,0.10,0.32,1.76,
332775823,-0.03,-0.05,1.52,0.00,-0.08,1.49,0.04,-0.10,1.51,0.05,-0.11,1.50,-0.08,-0.30,1.57,0.33,-0.17,1.50,-0.06,-0.01,1.63,0.25,-0.01,1.67,0.09,0.13,1.75,0.10,0.32,1.76,
332775855,-0.03,-0.05,1.52,0.00,-0.08,1.49,0.04,-0.10,1.50,0.06,-0.11,1.50,-0.08,-0.30,1.57,0.33,-0.17,1.50,-0.06,-0.01,1.63,0.25,-0.01,1.67,0.09,0.13,1.75,0.11,0.32,1.76,
332775891,0.24,-0.07,1.48,0.00,-0.08,1.49,0.16,-0.12,1.50,0.05,-0.11,1.50,-0.08,-0.30,1.57,0.33,-0.17,1.50,-0.06,-0.01,1.63,0.25,-0.01,1.67,0.09,0.13,1.75,0.11,0.32,1.76,
332775923,-0.02,-0.05,1.52,0.00,-0.08,1.49,0.04,-0.10,1.51,0.05,-0.11,1.50,-0.08,-0.30,1.57,0.33,-0.17,1.50,-0.06,-0.01,1.63,0.25,-0.01,1.67,0.09,0.13,1.75,0.11,0.32,1.76,
332775955,0.25,-0.08,1.47,0.00,-0.08,1.49,0.17,-0.14,1.49,0.05,-0.11,1.50,-0.08,-0.30,1.57,0.33,-0.17,1.50,-0.06,-0.01,1.63,0.25,-0.01,1.67,0.09,0.13,1.75,0.11,0.32,1.76,
332775991,0.25,-0.08,1.47,0.00,-0.08,1.49,0.16,-0.14,1.50,0.05,-0.11,1.50,-0.08,-0.30,1.57,0.33,-0.17,1.50,-0.06,-0.01,1.63,0.25,-0.01,1.67,0.10,0.13,1.75,0.11,0.32,1.76,
332776023,0.25,-0.08,1.47,0.00,-0.08,1.49,0.16,-0.14,1.50,0.06,-0.12,1.50,-0.08,-0.31,1.57,0.33,-0.17,1.50,-0.06,-0.01,1.63,0.25,-0.01,1.67,0.10,0.13,1.75,0.11,0.32,1.76,
332776055,0.24,-0.08,1.47,0.00,-0.09,1.49,0.16,-0.13,1.50,0.06,-0.12,1.50,-0.08,-0.31,1.57,0.33,-0.17,1.50,-0.06,-0.01,1.63,0.25,-0.01,1.67,0.10,0.13,1.75,0.11,0.32,1.76,
332776091,-0.03,-0.04,1.53,0.00,-0.09,1.49,0.03,-0.09,1.51,0.06,-0.12,1.50,-0.08,-0.31,1.57,0.33,-0.18,1.50,-0.06,-0.01,1.63,0.26,-0.01,1.67,0.10,0.13,1.75,0.11,0.32,1.76,
332776123,0.24,-0.08,1.47,0.00,-0.09,1.49,0.16,-0.13,1.50,0.06,-0.12,1.50,-0.08,-0.31,1.57,0.33,-0.18,1.50,-0.06,-0.01,1.63,0.26,-0.01,1.67,0.10,0.13,1.75,0.11,0.32,1.76,
332776155,0.24,-0.08,1.47,0.00,-0.09,1.49,0.16,-0.13,1.50,0.06,-0.12,1.50,-0.08,-0.31,1.57,0.33,-0.18,1.50,-0.06,-0.01,1.63,0.26,-0.01,1.67,0.10,0.13,1.75,0.11,0.32,1.76,
332776191,0.24,-0.08,1.47,0.00,-0.09,1.49,0.16,-0.13,1.50,0.06,-0.12,1.50,-0.08,-0.31,1.57,0.33,-0.18,1.50,-0.06,-0.02,1.63,0.26,-0.01,1.67,0.10,0.13,1.75,0.11,0.32,1.76,
332776223,-0.02,-0.05,1.52,0.00,-0.09,1.49,0.04,-0.10,1.50,0.06,-0.12,1.50,-0.08,-0.31,1.57,0.33,-0.18,1.50,-0.06,-0.02,1.63,0.26,-0.02,1.67,0.10,0.12,1.75,0.11,0.32,1.76,
