Time Interval,Left Hand X,Left Hand Y,Left Hand Z,Right Hand X,Right Hand Y,Right Hand Z,Left Wrist X,Left Wrist Y,Left Wrist Z,Right Wrist X,Right Wrist Y,Right Wrist Z,Left Elbow X,Left Elbow Y,Left Elbow Z,Right Elbow X,Right Elbow Y,Right Elbow Z,Left Shoulder X,Left Shoulder Y,Left Shoulder Z,Right Shoulder X,Right Shoulder Y,Right Shoulder Z,Center Shoulder X,Center Shoulder Y,Center Shoulder Z,Head X,Head Y,Head Z
332542175,-0.13,-0.45,1.38,0.32,-0.47,1.37,-0.11,-0.40,1.39,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.51,0.12,0.14,1.51,0.13,0.34,1.50,
332542211,-0.07,-0.47,1.34,0.32,-0.47,1.37,-0.09,-0.41,1.37,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.51,0.12,0.14,1.51,0.13,0.34,1.50,
332542243,-0.11,-0.46,1.37,0.32,-0.47,1.37,-0.11,-0.40,1.39,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.51,0.12,0.14,1.51,0.13,0.34,1.49,
332542275,-0.11,-0.46,1.37,0.32,-0.47,1.37,-0.11,-0.40,1.39,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.51,0.12,0.14,1.51,0.13,0.34,1.49,
332542311,-0.11,-0.46,1.37,0.32,-0.47,1.37,-0.11,-0.40,1.39,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.51,0.12,0.14,1.51,0.13,0.34,1.49,
332542343,-0.11,-0.46,1.37,0.32,-0.47,1.37,-0.11,-0.40,1.39,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.51,0.12,0.14,1.51,0.13,0.34,1.49,
332542375,-0.11,-0.46,1.37,0.32,-0.47,1.37,-0.11,-0.40,1.39,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.51,0.12,0.14,1.51,0.13,0.34,1.49,
332542411,-0.12,-0.46,1.38,0.32,-0.47,1.37,-0.11,-0.40,1.39,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.51,0.12,0.14,1.51,0.13,0.34,1.49,
332542443,-0.13,-0.46,1.38,0.32,-0.47,1.37,-0.11,-0.40,1.39,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.51,0.12,0.14,1.51,0.13,0.34,1.49,
332542475,-0.13,-0.46,1.38,0.32,-0.47,1.37,-0.11,-0.40,1.39,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.51,0.12,0.14,1.51,0.13,0.34,1.49,
332542511,-0.13,-0.46,1.38,0.32,-0.47,1.37,-0.11,-0.40,1.39,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.51,0.12,0.14,1.51,0.13,0.34,1.49,
332542543,-0.13,-0.46,1.38,0.32,-0.47,1.37,-0.11,-0.40,1.39,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.51,0.12,0.14,1.51,0.13,0.34,1.49,
332542575,-0.07,-0.47,1.34,0.32,-0.47,1.37,-0.10,-0.41,1.38,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.51,0.12,0.14,1.51,0.13,0.34,1.49,
332542611,-0.11,-0.47,1.37,0.32,-0.47,1.37,-0.12,-0.40,1.40,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.51,0.12,0.14,1.51,0.13,0.34,1.49,
332542643,-0.11,-0.46,1.37,0.32,-0.47,1.37,-0.12,-0.40,1.40,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.51,0.12,0.14,1.51,0.13,0.34,1.49,
332542675,-0.07,-0.47,1.34,0.32,-0.47,1.37,-0.09,-0.41,1.37,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.51,0.12,0.14,1.51,0.13,0.34,1.49,
332542711,-0.11,-0.46,1.37,0.32,-0.47,1.37,-0.13,-0.40,1.40,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.51,0.12,0.14,1.51,0.13,0.34,1.50,
332542743,-0.07,-0.47,1.34,0.32,-0.47,1.37,-0.10,-0.41,1.37,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.48,-0.06,0.01,1.49,0.31,0.01,1.51,0.12,0.14,1.51,0.13,0.34,1.50,
332542775,-0.07,-0.47,1.34,0.32,-0.47,1.37,-0.10,-0.41,1.37,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.48,-0.06,0.01,1.49,0.31,0.01,1.51,0.12,0.14,1.51,0.13,0.34,1.50,
332542811,-0.07,-0.47,1.34,0.32,-0.47,1.37,-0.10,-0.41,1.37,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.48,-0.06,0.01,1.49,0.31,0.01,1.50,0.12,0.14,1.51,0.13,0.34,1.50,
332542843,-0.07,-0.47,1.34,0.32,-0.47,1.37,-0.10,-0.41,1.37,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.48,-0.06,0.01,1.49,0.31,0.01,1.50,0.13,0.14,1.51,0.13,0.34,1.50,
332542875,-0.13,-0.46,1.38,0.32,-0.47,1.37,-0.11,-0.40,1.39,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.48,-0.06,0.01,1.49,0.31,0.01,1.50,0.13,0.14,1.51,0.13,0.34,1.50,
332542911,-0.13,-0.46,1.38,0.32,-0.47,1.37,-0.11,-0.40,1.39,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.48,-0.06,0.01,1.49,0.31,0.01,1.50,0.13,0.14,1.51,0.13,0.34,1.50,
332542943,-0.13,-0.46,1.38,0.32,-0.47,1.37,-0.11,-0.40,1.39,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.48,-0.06,0.01,1.49,0.31,0.01,1.50,0.13,0.14,1.51,0.13,0.34,1.50,
332542975,-0.13,-0.46,1.38,0.32,-0.47,1.37,-0.11,-0.40,1.39,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.48,-0.06,0.01,1.49,0.31,0.01,1.50,0.13,0.14,1.51,0.13,0.34,1.49,
332543011,-0.13,-0.46,1.38,0.32,-0.47,1.37,-0.11,-0.40,1.39,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.48,-0.06,0.01,1.49,0.31,0.01,1.50,0.13,0.14,1.51,0.13,0.34,1.49,
332543043,-0.07,-0.47,1.34,0.32,-0.47,1.37,-0.10,-0.40,1.37,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.48,-0.06,0.01,1.49,0.31,0.01,1.50,0.13,0.14,1.51,0.13,0.34,1.49,
332543075,-0.07,-0.47,1.34,0.32,-0.47,1.37,-0.10,-0.40,1.37,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.48,-0.06,0.01,1.49,0.31,0.01,1.50,0.13,0.14,1.51,0.13,0.34,1.49,
332543111,-0.14,-0.45,1.38,0.32,-0.47,1.37,-0.11,-0.39,1.39,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.48,-0.06,0.01,1.49,0.31,0.01,1.50,0.13,0.14,1.51,0.13,0.34,1.49,
332543143,-0.14,-0.45,1.38,0.32,-0.47,1.37,-0.11,-0.39,1.39,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.48,-0.06,0.01,1.49,0.31,0.01,1.50,0.13,0.14,1.51,0.13,0.34,1.49,
332543175,-0.14,-0.45,1.38,0.32,-0.47,1.37,-0.11,-0.39,1.39,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.48,-0.06,0.01,1.49,0.31,0.01,1.50,0.13,0.14,1.51,0.13,0.34,1.49,
332543211,-0.13,-0.45,1.38,0.32,-0.47,1.37,-0.11,-0.39,1.39,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.48,-0.06,0.01,1.49,0.31,0.01,1.50,0.13,0.14,1.51,0.13,0.34,1.49,
332543243,-0.13,-0.45,1.38,0.32,-0.47,1.37,-0.11,-0.39,1.39,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.48,-0.06,0.01,1.49,0.31,0.01,1.51,0.13,0.14,1.51,0.13,0.34,1.49,
332543279,-0.12,-0.46,1.37,0.32,-0.47,1.37,-0.11,-0.40,1.39,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.48,-0.06,0.01,1.49,0.31,0.01,1.51,0.13,0.14,1.51,0.14,0.34,1.49,
332543311,-0.12,-0.46,1.38,0.32,-0.47,1.37,-0.11,-0.40,1.39,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.48,-0.06,0.01,1.49,0.31,0.01,1.51,0.13,0.14,1.51,0.14,0.34,1.49,
332543343,-0.07,-0.47,1.34,0.32,-0.47,1.37,-0.09,-0.41,1.37,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.51,0.13,0.14,1.51,0.14,0.34,1.49,
